method,FEM,FEM,PINNs,PINNs,Add,Add,Mult3,Mult3,Mult100,Mult100
"82 : 0.57,0.18,0.14",0.02566292719320787,0.006168350243076948,0.0098558673726033,0.0098558673724768,0.0010404726997727527,0.0002936207666243902,0.0009944145015419925,0.00028375334032416444,0.0010390612498418369,0.00029332425448846906
"83 : 0.49,0.36,0.94",0.07518132494674255,0.018133859537644192,0.006639817540739539,0.006639817546094432,0.0037930817632204467,0.0010666266940752372,0.003863430888284827,0.0010724019010786377,0.00379455887576617,0.0010667686894482733
"84 : 0.77,0.75,0.9",0.060773879731410706,0.01464543051739437,0.01955854548767621,0.019558545555505107,0.00889023322407214,0.002150151162924099,0.008088292877401752,0.0020988791399048664,0.008886550247126408,0.002148396130997275
"85 : 0.08,0.55,0.58",0.06908760222336062,0.016645929609708805,0.006615774916781984,0.006615774918032837,0.0025972207949589267,0.0008904893499282429,0.00258925516949444,0.0008583510033188269,0.0025969577593630594,0.0008895665003169725
"86 : 0.96,0.29,0.24",0.025109151516381448,0.006035408595087725,0.004927469789195593,0.004927469789243504,0.0009977234266895247,0.00029526846800383014,0.000991098953880103,0.0002917434390551309,0.000997687090464295,0.00029517905602432983
"87 : 0.1,0.02,0.93",0.08742213227841113,0.021092672574503486,0.014705590358692492,0.014705590358392633,0.005907515219404311,0.001741800628735288,0.005918092735685634,0.001687836783454704,0.005906353738014895,0.0017402631772858092
"88 : 0.67,0.79,0.28",0.03765117012591583,0.009031650824725505,0.003614546903868014,0.003614546904035284,0.0018868520445290548,0.000579838550716886,0.001882111034131119,0.0005601956734270861,0.0018860487277037293,0.000579272664178617
"89 : 0.59,0.06,0.49",0.056506344552777046,0.013629524393488683,0.004317508786258441,0.0043175087861352605,0.001123725309696639,0.00045921364307797177,0.0011189837743988827,0.000455019302690164,0.001123482937607661,0.00045910541081586734
"90 : 0.98,0.88,0.34",0.0344449496318708,0.008263895962447036,0.006407062015269674,0.006407062015351253,0.002738258563048594,0.0007381153922723674,0.0027045136873907853,0.000728907580570574,0.002738875477060823,0.0007380047783293006
"91 : 0.96,0.23,0.95",0.06165276999261961,0.014870908232887173,0.0075113034679382676,0.007511303477162546,0.002149515580743321,0.0007044320529773857,0.0021578050583657155,0.00070973656850138,0.0021485666135919548,0.0007043930115108432
"92 : 0.94,0.8,0.63",0.046521107473900224,0.01119650468539572,0.0033478240570962636,0.0033478240552698674,0.0014645313120254181,0.0003992744014411187,0.001335618965143177,0.00039861235095601654,0.0014626428669629729,0.0003989417166214252
"93 : 0.87,0.29,0.85",0.06067244078433064,0.014632870362606725,0.004692567617291394,0.004692567623894229,0.002936310373386692,0.0008515837315847216,0.002963574694124174,0.000856846113301943,0.002937788018832449,0.0008519154659575978
"94 : 0.62,0.01,0.35",0.04394486995746361,0.010596792328725785,0.007427240045022668,0.007427240044887945,0.001225685626152683,0.0004142198144725612,0.001219708147188388,0.00041514545150865464,0.0012252766649677102,0.00041423899063927416
"95 : 0.15,0.98,0.48",0.05195990604734592,0.012484185606891395,0.005302217663843729,0.005302217663744205,0.003315763354145575,0.0009428356972265975,0.0032287200259811166,0.0009011787952474356,0.003314069000299318,0.0009418363874710989
"96 : 0.5,0.64,0.37",0.04652500986546964,0.011185002073737023,0.0051769603718019724,0.005176960371937698,0.0015011653804878206,0.0005393604512998152,0.0016443377618821273,0.0005394430683217823,0.0015032147719486546,0.0005392384238050185
"97 : 0.14,0.82,0.19",0.042790844806760486,0.010250000560903035,0.0052827120831121874,0.005282712083269141,0.001135644653395259,0.00036707865287662295,0.0011854073950977255,0.00037252973425083675,0.0011367439788218367,0.0003671952792779518
"98 : 0.51,0.22,0.1",0.02358033808354524,0.005654652892890008,0.009438496755238453,0.009438496755107665,0.0012276664196175398,0.0003205418542538775,0.001150729916208012,0.00030269429249500326,0.0012254883259323291,0.000320029912227333
"99 : 0.86,0.97,0.96",0.05767721605651413,0.013892862961623852,0.0662296464106619,0.06622964638491782,0.015609029024231977,0.004824881134864436,0.015908710778082525,0.004667213473358583,0.015593173108820923,0.004821901008843175
